,Station Id,Station Name,Longitude (x),Latitude (y),Status
0,23501,,,,Bad Response
1,23502,,,,Bad Response
2,23503,,,,Bad Response
3,23504,,,,Bad Response
4,23505,,,,Bad Response
5,23506,,,,Bad Response
6,23507,,,,Bad Response
7,23508,,,,Bad Response
8,23509,,,,Bad Response
9,23510,,,,Bad Response
10,23511,,,,Bad Response
11,23512,,,,Bad Response
12,23513,,,,Bad Response
13,23514,,,,Bad Response
14,23515,,,,Bad Response
15,23516,,,,Bad Response
16,23517,,,,Bad Response
17,23518,,,,Bad Response
18,23519,,,,Bad Response
19,23520,,,,Bad Response
20,23521,,,,Bad Response
21,23522,,,,Bad Response
22,23523,,,,Bad Response
23,23524,,,,Bad Response
24,23525,,,,Bad Response
25,23526,,,,Bad Response
26,23527,,,,Bad Response
27,23528,,,,Bad Response
28,23529,,,,Bad Response
29,23530,,,,Bad Response
30,23531,,,,Bad Response
31,23532,,,,Bad Response
32,23533,,,,Bad Response
33,23534,,,,Bad Response
34,23535,,,,Bad Response
35,23536,,,,Bad Response
36,23537,,,,Bad Response
37,23538,,,,Bad Response
38,23539,,,,Bad Response
39,23540,,,,Bad Response
40,23541,,,,Bad Response
41,23542,,,,Bad Response
42,23543,,,,Bad Response
43,23544,,,,Bad Response
44,23545,,,,Bad Response
45,23546,,,,Bad Response
46,23547,,,,Bad Response
47,23548,,,,Bad Response
48,23549,,,,Bad Response
49,23550,,,,Bad Response
50,23551,,,,Bad Response
51,23552,,,,Bad Response
52,23553,,,,Bad Response
53,23554,,,,Bad Response
54,23555,,,,Bad Response
55,23556,,,,Bad Response
56,23557,,,,Bad Response
57,23558,,,,Bad Response
58,23559,,,,Bad Response
59,23560,,,,Bad Response
60,23561,,,,Bad Response
61,23562,,,,Bad Response
62,23563,,,,Bad Response
63,23564,,,,Bad Response
64,23565,,,,Bad Response
65,23566,,,,Bad Response
66,23567,,,,Bad Response
67,23568,,,,Bad Response
68,23569,,,,Bad Response
69,23570,,,,Bad Response
70,23571,,,,Bad Response
71,23572,,,,Bad Response
72,23573,,,,Bad Response
73,23574,,,,Bad Response
74,23575,,,,Bad Response
75,23576,,,,Bad Response
76,23577,,,,Bad Response
77,23578,,,,Bad Response
78,23579,,,,Bad Response
79,23580,,,,Bad Response
80,23581,,,,Bad Response
81,23582,,,,Bad Response
82,23583,,,,Bad Response
83,23584,,,,Bad Response
84,23585,,,,Bad Response
