,Station Id,Station Name,Longitude (x),Latitude (y),Status
0,13501,,,,Bad Response
1,13502,,,,Bad Response
2,13503,,,,Bad Response
3,13504,,,,Bad Response
4,13505,,,,Bad Response
5,13506,,,,Bad Response
6,13507,,,,Bad Response
7,13508,,,,Bad Response
8,13509,,,,Bad Response
9,13510,,,,Bad Response
10,13511,,,,Bad Response
11,13512,,,,Bad Response
12,13513,,,,Bad Response
13,13514,,,,Bad Response
14,13515,,,,Bad Response
15,13516,,,,Bad Response
16,13517,,,,Bad Response
17,13518,,,,Bad Response
18,13519,,,,Bad Response
19,13520,,,,Bad Response
20,13521,,,,Bad Response
21,13522,,,,Bad Response
22,13523,,,,Bad Response
23,13524,,,,Bad Response
24,13525,,,,Bad Response
25,13526,,,,Bad Response
26,13527,,,,Bad Response
27,13528,,,,Bad Response
28,13529,,,,Bad Response
29,13530,,,,Bad Response
30,13531,,,,Bad Response
31,13532,,,,Bad Response
32,13533,,,,Bad Response
33,13534,,,,Bad Response
34,13535,,,,Bad Response
35,13536,,,,Bad Response
36,13537,,,,Bad Response
37,13538,,,,Bad Response
38,13539,,,,Bad Response
39,13540,,,,Bad Response
40,13541,,,,Bad Response
41,13542,,,,Bad Response
42,13543,,,,Bad Response
43,13544,,,,Bad Response
44,13545,,,,Bad Response
45,13546,,,,Bad Response
46,13547,,,,Bad Response
47,13548,,,,Bad Response
48,13549,,,,Bad Response
49,13550,,,,Bad Response
50,13551,,,,Bad Response
51,13552,,,,Bad Response
52,13553,,,,Bad Response
53,13554,,,,Bad Response
54,13555,,,,Bad Response
55,13556,,,,Bad Response
56,13557,,,,Bad Response
57,13558,,,,Bad Response
58,13559,,,,Bad Response
59,13560,,,,Bad Response
60,13561,,,,Bad Response
61,13562,,,,Bad Response
62,13563,,,,Bad Response
63,13564,,,,Bad Response
64,13565,,,,Bad Response
65,13566,,,,Bad Response
66,13567,,,,Bad Response
67,13568,,,,Bad Response
68,13569,,,,Bad Response
69,13570,,,,Bad Response
70,13571,,,,Bad Response
71,13572,,,,Bad Response
72,13573,,,,Bad Response
73,13574,,,,Bad Response
74,13575,,,,Bad Response
75,13576,,,,Bad Response
76,13577,,,,Bad Response
77,13578,,,,Bad Response
78,13579,,,,Bad Response
79,13580,,,,Bad Response
80,13581,,,,Bad Response
81,13582,,,,Bad Response
82,13583,,,,Bad Response
83,13584,,,,Bad Response
84,13585,,,,Bad Response
85,13586,,,,Bad Response
86,13587,,,,Bad Response
87,13588,,,,Bad Response
88,13589,,,,Bad Response
89,13590,,,,Bad Response
90,13591,,,,Bad Response
91,13592,,,,Bad Response
92,13593,,,,Bad Response
93,13594,,,,Bad Response
94,13595,,,,Bad Response
95,13596,,,,Bad Response
96,13597,,,,Bad Response
97,13598,,,,Bad Response
98,13599,,,,Bad Response
99,13600,,,,Bad Response
100,13601,,,,Bad Response
101,13602,,,,Bad Response
102,13603,,,,Bad Response
103,13604,,,,Bad Response
104,13605,,,,Bad Response
105,13606,,,,Bad Response
106,13607,,,,Bad Response
107,13608,,,,Bad Response
108,13609,,,,Bad Response
109,13610,,,,Bad Response
110,13611,,,,Bad Response
111,13612,,,,Bad Response
112,13613,,,,Bad Response
113,13614,,,,Bad Response
114,13615,,,,Bad Response
115,13616,,,,Bad Response
116,13617,,,,Bad Response
117,13618,,,,Bad Response
118,13619,,,,Bad Response
119,13620,,,,Bad Response
120,13621,,,,Bad Response
121,13622,,,,Bad Response
122,13623,,,,Bad Response
123,13624,,,,Bad Response
124,13625,,,,Bad Response
125,13626,,,,Bad Response
126,13627,,,,Bad Response
127,13628,,,,Bad Response
128,13629,,,,Bad Response
129,13630,,,,Bad Response
130,13631,,,,Bad Response
131,13632,,,,Bad Response
132,13633,,,,Bad Response
133,13634,,,,Bad Response
134,13635,,,,Bad Response
135,13636,,,,Bad Response
136,13637,,,,Bad Response
137,13638,,,,Bad Response
138,13639,,,,Bad Response
139,13640,,,,Bad Response
140,13641,,,,Bad Response
141,13642,,,,Bad Response
142,13643,,,,Bad Response
143,13644,,,,Bad Response
144,13645,,,,Bad Response
145,13646,,,,Bad Response
146,13647,,,,Bad Response
147,13648,,,,Bad Response
148,13649,,,,Bad Response
149,13650,,,,Bad Response
150,13651,,,,Bad Response
151,13652,,,,Bad Response
152,13653,,,,Bad Response
153,13654,,,,Bad Response
154,13655,,,,Bad Response
155,13656,,,,Bad Response
156,13657,,,,Bad Response
157,13658,,,,Bad Response
158,13659,,,,Bad Response
159,13660,,,,Bad Response
160,13661,,,,Bad Response
161,13662,,,,Bad Response
162,13663,,,,Bad Response
163,13664,,,,Bad Response
164,13665,,,,Bad Response
165,13666,,,,Bad Response
166,13667,,,,Bad Response
167,13668,,,,Bad Response
168,13669,,,,Bad Response
169,13670,,,,Bad Response
170,13671,,,,Bad Response
171,13672,,,,Bad Response
172,13673,,,,Bad Response
