,Station Id,Station Name,Longitude (x),Latitude (y),Status
0,36501,,,,Bad Response
1,36502,,,,Bad Response
2,36503,,,,Bad Response
3,36504,,,,Bad Response
4,36505,,,,Bad Response
5,36506,,,,Bad Response
6,36507,,,,Bad Response
7,36508,,,,Bad Response
8,36509,,,,Bad Response
9,36510,,,,Bad Response
10,36511,,,,Bad Response
11,36512,,,,Bad Response
12,36513,,,,Bad Response
13,36514,,,,Bad Response
14,36515,,,,Bad Response
15,36516,,,,Bad Response
16,36517,,,,Bad Response
17,36518,,,,Bad Response
18,36519,,,,Bad Response
19,36520,,,,Bad Response
20,36521,,,,Bad Response
21,36522,,,,Bad Response
22,36523,,,,Bad Response
23,36524,,,,Bad Response
24,36525,,,,Bad Response
25,36526,,,,Bad Response
26,36527,,,,Bad Response
27,36528,,,,Bad Response
28,36529,,,,Bad Response
29,36530,,,,Bad Response
30,36531,,,,Bad Response
31,36532,,,,Bad Response
32,36533,,,,Bad Response
33,36534,,,,Bad Response
34,36535,,,,Bad Response
35,36536,,,,Bad Response
36,36537,,,,Bad Response
37,36538,,,,Bad Response
38,36539,,,,Bad Response
39,36540,,,,Bad Response
40,36541,,,,Bad Response
41,36542,,,,Bad Response
42,36543,,,,Bad Response
43,36544,,,,Bad Response
44,36545,,,,Bad Response
45,36546,,,,Bad Response
46,36547,,,,Bad Response
47,36548,,,,Bad Response
48,36549,,,,Bad Response
49,36550,,,,Bad Response
50,36551,,,,Bad Response
51,36552,,,,Bad Response
52,36553,,,,Bad Response
53,36554,,,,Bad Response
54,36555,,,,Bad Response
55,36556,,,,Bad Response
56,36557,,,,Bad Response
57,36558,,,,Bad Response
58,36559,,,,Bad Response
59,36560,,,,Bad Response
60,36561,,,,Bad Response
61,36562,,,,Bad Response
62,36563,,,,Bad Response
63,36564,,,,Bad Response
64,36565,,,,Bad Response
65,36566,,,,Bad Response
66,36567,,,,Bad Response
67,36568,,,,Bad Response
68,36569,,,,Bad Response
69,36570,,,,Bad Response
70,36571,,,,Bad Response
71,36572,,,,Bad Response
72,36573,,,,Bad Response
73,36574,,,,Bad Response
74,36575,,,,Bad Response
75,36576,,,,Bad Response
76,36577,,,,Bad Response
77,36578,,,,Bad Response
78,36579,,,,Bad Response
79,36580,,,,Bad Response
80,36581,,,,Bad Response
81,36582,,,,Bad Response
82,36583,,,,Bad Response
83,36584,,,,Bad Response
84,36585,,,,Bad Response
85,36586,,,,Bad Response
86,36587,,,,Bad Response
87,36588,,,,Bad Response
88,36589,,,,Bad Response
89,36590,,,,Bad Response
90,36591,,,,Bad Response
91,36592,,,,Bad Response
92,36593,,,,Bad Response
93,36594,,,,Bad Response
94,36595,,,,Bad Response
95,36596,,,,Bad Response
