,Station Id,Station Name,Longitude (x),Latitude (y),Status
0,65001,,,,Bad Response
1,65002,,,,Bad Response
2,65003,,,,Bad Response
3,65004,,,,Bad Response
4,65005,,,,Bad Response
5,65006,,,,Bad Response
6,65007,,,,Bad Response
7,65008,,,,Bad Response
8,65009,,,,Bad Response
9,65010,,,,Bad Response
10,65011,,,,Bad Response
11,65012,,,,Bad Response
12,65013,,,,Bad Response
13,65014,,,,Bad Response
14,65015,,,,Bad Response
15,65016,,,,Bad Response
16,65017,,,,Bad Response
17,65018,,,,Bad Response
18,65019,,,,Bad Response
19,65020,,,,Bad Response
20,65021,,,,Bad Response
21,65022,,,,Bad Response
22,65023,,,,Bad Response
23,65024,,,,Bad Response
24,65025,,,,Bad Response
25,65026,,,,Bad Response
26,65027,,,,Bad Response
27,65028,,,,Bad Response
28,65029,,,,Bad Response
29,65030,,,,Bad Response
30,65031,,,,Bad Response
31,65032,,,,Bad Response
32,65033,,,,Bad Response
33,65034,,,,Bad Response
34,65035,,,,Bad Response
35,65036,,,,Bad Response
36,65037,,,,Bad Response
37,65038,,,,Bad Response
38,65039,,,,Bad Response
39,65040,,,,Bad Response
40,65041,,,,Bad Response
41,65042,,,,Bad Response
42,65043,,,,Bad Response
43,65044,,,,Bad Response
44,65045,,,,Bad Response
45,65046,,,,Bad Response
46,65047,,,,Bad Response
47,65048,,,,Bad Response
48,65049,,,,Bad Response
49,65050,,,,Bad Response
50,65051,,,,Bad Response
51,65052,,,,Bad Response
52,65053,,,,Bad Response
53,65054,,,,Bad Response
54,65055,,,,Bad Response
55,65056,,,,Bad Response
56,65057,,,,Bad Response
57,65058,,,,Bad Response
58,65059,,,,Bad Response
59,65060,,,,Bad Response
60,65061,,,,Bad Response
61,65062,,,,Bad Response
62,65063,,,,Bad Response
63,65064,,,,Bad Response
64,65065,,,,Bad Response
65,65066,,,,Bad Response
66,65067,,,,Bad Response
67,65068,,,,Bad Response
68,65069,,,,Bad Response
69,65070,,,,Bad Response
70,65071,,,,Bad Response
71,65072,,,,Bad Response
72,65073,,,,Bad Response
73,65074,,,,Bad Response
74,65075,,,,Bad Response
75,65076,,,,Bad Response
76,65077,,,,Bad Response
77,65078,,,,Bad Response
78,65079,,,,Bad Response
79,65080,,,,Bad Response
80,65081,,,,Bad Response
81,65082,,,,Bad Response
82,65083,,,,Bad Response
