begin_datetime_utc,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
2012-01-01 07:00,2012-01-01 00:00,36.60,34.07,52.21
2012-01-01 08:00,2012-01-01 01:00,31.76,30.99,52.23
2012-01-01 09:00,2012-01-01 02:00,29.74,25.97,52.25
2012-01-01 10:00,2012-01-01 03:00,24.86,25.11,52.27
2012-01-01 11:00,2012-01-01 04:00,24.01,24.28,52.28
2012-01-01 12:00,2012-01-01 05:00,24.00,24.28,52.28
2012-01-01 13:00,2012-01-01 06:00,24.00,24.19,52.27
2012-01-01 14:00,2012-01-01 07:00,23.57,23.44,52.25
2012-01-01 15:00,2012-01-01 08:00,24.35,26.09,52.23
2012-01-01 16:00,2012-01-01 09:00,22.24,17.73,52.21
2012-01-01 17:00,2012-01-01 10:00,17.10,17.24,52.18
2012-01-01 18:00,2012-01-01 11:00,16.65,20.89,52.16
2012-01-01 19:00,2012-01-01 12:00,17.47,16.88,52.13
2012-01-01 20:00,2012-01-01 13:00,16.63,18.2,52.10
2012-01-01 21:00,2012-01-01 14:00,15.82,15.82,52.07
2012-01-01 22:00,2012-01-01 15:00,17.56,17.44,52.05
2012-01-01 23:00,2012-01-01 16:00,23.33,24.66,51.86
2012-01-02 00:00,2012-01-01 17:00,24.53,24.31,51.57
2012-01-02 01:00,2012-01-01 18:00,23.91,24.08,51.48
2012-01-02 02:00,2012-01-01 19:00,24.12,24.01,51.33
2012-01-02 03:00,2012-01-01 20:00,26.00,27.23,51.29
2012-01-02 04:00,2012-01-01 21:00,26.00,24.62,51.27
2012-01-02 05:00,2012-01-01 22:00,23.84,22.4,51.25
2012-01-02 06:00,2012-01-01 23:00,18.66,19.92,51.19
2012-01-02 07:00,2012-01-02 00:00,15.02,14.78,51.16
2012-01-02 08:00,2012-01-02 01:00,14.72,14.46,51.14
2012-01-02 09:00,2012-01-02 02:00,14.40,14.72,51.12
2012-01-02 10:00,2012-01-02 03:00,14.67,14.61,51.11
2012-01-02 11:00,2012-01-02 04:00,15.15,15.16,51.11
2012-01-02 12:00,2012-01-02 05:00,15.34,18.81,51.11
2012-01-02 13:00,2012-01-02 06:00,14.88,19.66,51.11
2012-01-02 14:00,2012-01-02 07:00,13.16,17.31,51.09
2012-01-02 15:00,2012-01-02 08:00,20.57,15.75,51.08
2012-01-02 16:00,2012-01-02 09:00,24.04,24.01,51.07
2012-01-02 17:00,2012-01-02 10:00,30.05,24.88,51.06
2012-01-02 18:00,2012-01-02 11:00,35.11,30.02,51.06
2012-01-02 19:00,2012-01-02 12:00,33.33,38.78,51.05
2012-01-02 20:00,2012-01-02 13:00,25.57,25.57,51.04
2012-01-02 21:00,2012-01-02 14:00,24.03,24.11,51.03
2012-01-02 22:00,2012-01-02 15:00,24.55,26.14,51.02
2012-01-02 23:00,2012-01-02 16:00,27.61,28.9,50.58
2012-01-03 00:00,2012-01-02 17:00,36.52,34.71,50.44
2012-01-03 01:00,2012-01-02 18:00,34.51,36.46,50.43
2012-01-03 02:00,2012-01-02 19:00,33.58,35.26,50.42
2012-01-03 03:00,2012-01-02 20:00,26.16,29.42,50.40
2012-01-03 04:00,2012-01-02 21:00,25.38,29.02,50.38
2012-01-03 05:00,2012-01-02 22:00,21.58,21.83,50.36
2012-01-03 06:00,2012-01-02 23:00,16.72,15.91,50.33
2012-01-03 07:00,2012-01-03 00:00,14.97,15.1,50.30
2012-01-03 08:00,2012-01-03 01:00,16.14,15.88,50.29
2012-01-03 09:00,2012-01-03 02:00,16.54,16.81,50.27
2012-01-03 10:00,2012-01-03 03:00,14.06,16.11,50.25
2012-01-03 11:00,2012-01-03 04:00,14.59,14.85,50.22
2012-01-03 12:00,2012-01-03 05:00,15.27,16.38,50.19
2012-01-03 13:00,2012-01-03 06:00,18.95,18.13,50.16
2012-01-03 14:00,2012-01-03 07:00,17.02,15.88,50.13
2012-01-03 15:00,2012-01-03 08:00,20.34,17.66,50.10
2012-01-03 16:00,2012-01-03 09:00,22.50,21.74,50.09
2012-01-03 17:00,2012-01-03 10:00,24.29,23.91,50.07
2012-01-03 18:00,2012-01-03 11:00,26.51,25.33,50.03
2012-01-03 19:00,2012-01-03 12:00,27.84,25.0,50.00
2012-01-03 20:00,2012-01-03 13:00,33.62,33.97,49.99
2012-01-03 21:00,2012-01-03 14:00,30.90,29.57,49.98
2012-01-03 22:00,2012-01-03 15:00,28.81,30.91,49.96
2012-01-03 23:00,2012-01-03 16:00,28.78,28.74,49.78
2012-01-04 00:00,2012-01-03 17:00,38.62,38.94,49.46
2012-01-04 01:00,2012-01-03 18:00,35.84,35.87,49.29
2012-01-04 02:00,2012-01-03 19:00,35.28,33.99,49.09
2012-01-04 03:00,2012-01-03 20:00,27.89,33.45,48.99
2012-01-04 04:00,2012-01-03 21:00,27.65,29.33,48.97
2012-01-04 05:00,2012-01-03 22:00,23.86,22.75,48.97
2012-01-04 06:00,2012-01-03 23:00,19.23,17.04,48.96
2012-01-04 07:00,2012-01-04 00:00,18.06,16.62,48.96
2012-01-04 08:00,2012-01-04 01:00,17.05,16.49,48.96
2012-01-04 09:00,2012-01-04 02:00,15.04,15.36,48.96
2012-01-04 10:00,2012-01-04 03:00,15.21,14.85,48.96
2012-01-04 11:00,2012-01-04 04:00,15.36,16.29,48.96
2012-01-04 12:00,2012-01-04 05:00,16.18,18.48,48.96
2012-01-04 13:00,2012-01-04 06:00,17.81,22.38,48.95
2012-01-04 14:00,2012-01-04 07:00,16.84,16.36,48.94
2012-01-04 15:00,2012-01-04 08:00,30.93,30.31,48.94
2012-01-04 16:00,2012-01-04 09:00,33.15,33.52,48.95
2012-01-04 17:00,2012-01-04 10:00,33.15,33.52,48.96
2012-01-04 18:00,2012-01-04 11:00,33.79,33.52,48.96
2012-01-04 19:00,2012-01-04 12:00,35.28,35.22,48.97
2012-01-04 20:00,2012-01-04 13:00,35.30,34.72,48.98
2012-01-04 21:00,2012-01-04 14:00,33.89,33.52,48.99
2012-01-04 22:00,2012-01-04 15:00,33.31,33.63,49.00
2012-01-04 23:00,2012-01-04 16:00,31.18,31.49,48.99
2012-01-05 00:00,2012-01-04 17:00,31.18,30.94,48.98
2012-01-05 01:00,2012-01-04 18:00,31.18,30.65,48.97
2012-01-05 02:00,2012-01-04 19:00,29.85,30.04,48.97
