begin_datetime_utc,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
2015-01-01 07:00,2015-01-01 00:00,37.45,37.0,26.81
2015-01-01 08:00,2015-01-01 01:00,34.62,35.86,26.84
2015-01-01 09:00,2015-01-01 02:00,22.80,21.86,26.86
2015-01-01 10:00,2015-01-01 03:00,21.05,20.79,26.87
2015-01-01 11:00,2015-01-01 04:00,20.79,20.6,26.88
2015-01-01 12:00,2015-01-01 05:00,20.20,20.05,26.89
2015-01-01 13:00,2015-01-01 06:00,19.83,19.9,26.90
2015-01-01 14:00,2015-01-01 07:00,19.43,20.08,26.88
2015-01-01 15:00,2015-01-01 08:00,17.87,19.71,26.86
2015-01-01 16:00,2015-01-01 09:00,20.14,20.05,26.84
2015-01-01 17:00,2015-01-01 10:00,24.74,23.82,26.83
2015-01-01 18:00,2015-01-01 11:00,28.37,27.19,26.81
2015-01-01 19:00,2015-01-01 12:00,29.35,26.02,26.81
2015-01-01 20:00,2015-01-01 13:00,30.59,29.71,26.80
2015-01-01 21:00,2015-01-01 14:00,32.47,32.47,26.79
2015-01-01 22:00,2015-01-01 15:00,31.76,34.47,26.78
2015-01-01 23:00,2015-01-01 16:00,37.12,38.41,26.76
2015-01-02 00:00,2015-01-01 17:00,45.04,64.35,26.75
2015-01-02 01:00,2015-01-01 18:00,39.75,33.16,26.75
2015-01-02 02:00,2015-01-01 19:00,32.06,34.12,26.73
2015-01-02 03:00,2015-01-01 20:00,27.91,30.51,26.72
2015-01-02 04:00,2015-01-01 21:00,26.43,26.9,26.69
2015-01-02 05:00,2015-01-01 22:00,21.55,22.04,26.68
2015-01-02 06:00,2015-01-01 23:00,20.63,16.8,26.68
2015-01-02 07:00,2015-01-02 00:00,18.49,18.48,26.68
2015-01-02 08:00,2015-01-02 01:00,18.51,20.45,26.68
2015-01-02 09:00,2015-01-02 02:00,16.92,18.05,26.67
2015-01-02 10:00,2015-01-02 03:00,13.22,18.11,26.66
2015-01-02 11:00,2015-01-02 04:00,12.27,12.23,26.65
2015-01-02 12:00,2015-01-02 05:00,12.19,13.47,26.64
2015-01-02 13:00,2015-01-02 06:00,12.10,15.66,26.62
2015-01-02 14:00,2015-01-02 07:00,12.27,20.61,26.59
