"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 00:00","2016","05","01","00:00","6.1","","-0.4","","63","","","","20","","6","","24.1","","89.92","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 01:00","2016","05","01","01:00","3.9","","-1.1","","70","","","","21","","4","","24.1","","89.92","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 02:00","2016","05","01","02:00","4.3","","-1.1","","68","","","","23","","7","","24.1","","89.88","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 03:00","2016","05","01","03:00","1.6","","-3.3","","70","","","","30","","4","","24.1","","89.89","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 04:00","2016","05","01","04:00","1.9","","-1.4","","79","","","","18","","4","","24.1","","89.88","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 05:00","2016","05","01","05:00","2.0","","-1.8","","76","","","","","","0","","64.4","","89.89","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 06:00","2016","05","01","06:00","3.1","","-1.7","","71","","","","18","","5","","64.4","","89.89","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 07:00","2016","05","01","07:00","6.2","","0.1","","65","","","","18","","7","","64.4","","89.90","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 08:00","2016","05","01","08:00","11.9","","1.3","","48","","","","","","0","","64.4","","89.90","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 09:00","2016","05","01","09:00","14.2","","0.9","","40","","","","23","","4","","64.4","","89.86","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 10:00","2016","05","01","10:00","15.6","","0.7","","36","","","","28","","4","","64.4","","89.83","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 11:00","2016","05","01","11:00","16.6","","-0.5","","31","","","","33","","6","","64.4","","89.78","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 12:00","2016","05","01","12:00","17.9","","-0.8","","28","","","","11","","8","","64.4","","89.73","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 13:00","2016","05","01","13:00","19.2","","-1.2","","25","","","","6","","16","","64.4","","89.66","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 14:00","2016","05","01","14:00","19.2","","-2.3","","23","","","","13","","7","","64.4","","89.62","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 15:00","2016","05","01","15:00","20.2","","-3.3","","20","","","","8","","8","","48.3","","89.57","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 16:00","2016","05","01","16:00","20.3","","-3.3","","20","","","","7","","7","","48.3","","89.54","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 17:00","2016","05","01","17:00","20.6","","-3.7","","19","","","","8","","5","","48.3","","89.50","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 18:00","2016","05","01","18:00","19.6","","-3.9","","20","","","","9","","9","","48.3","","89.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 19:00","2016","05","01","19:00","17.4","","-2.7","","25","","","","10","","11","","64.4","","89.45","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 20:00","2016","05","01","20:00","16.1","","-2.3","","28","","","","13","","13","","64.4","","89.48","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 21:00","2016","05","01","21:00","14.4","","-2.5","","31","","","","20","","4","","24.1","","89.51","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 22:00","2016","05","01","22:00","13.5","","-2.8","","32","","","","25","","6","","24.1","","89.52","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-01 23:00","2016","05","01","23:00","11.0","","-1.4","","42","","","","24","","5","","24.1","","89.50","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 00:00","2016","05","02","00:00","9.3","","-1.1","","48","","","","23","","7","","24.1","","89.48","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 01:00","2016","05","02","01:00","7.3","","-3.0","","48","","","","3","","4","","24.1","","89.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 02:00","2016","05","02","02:00","7.2","","-3.1","","48","","","","","","0","","24.1","","89.44","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 03:00","2016","05","02","03:00","6.7","","-1.7","","55","","","","21","","4","","24.1","","89.46","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 04:00","2016","05","02","04:00","5.9","","-1.7","","58","","","","21","","3","","24.1","","89.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 05:00","2016","05","02","05:00","5.7","","-1.7","","59","","","","24","","3","","64.4","","89.47","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 06:00","2016","05","02","06:00","6.1","","-1.3","","59","","","","20","","4","","64.4","","89.48","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 07:00","2016","05","02","07:00","10.0","","-0.2","","49","","","","19","","4","","48.3","","89.48","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 08:00","2016","05","02","08:00","13.9","","0.9","","41","","","","20","","7","","64.4","","89.48","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 09:00","2016","05","02","09:00","17.5","","0.3","","31","","","","20","","10","","64.4","","89.46","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 10:00","2016","05","02","10:00","19.6","","0.2","","27","","","","19","","10","","64.4","","89.44","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 11:00","2016","05","02","11:00","21.2","","-1.2","","22","","","","14","","12","","64.4","","89.42","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 12:00","2016","05","02","12:00","21.8","","-0.7","","22","","","","16","","13","","64.4","","89.37","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-05-02 13:00","2016","05","02","13:00","23.8","","-0.3","","20","","","","14","","22","","64.4","","89.33","","","","","","NA"
