"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 00:00","2015","08","01","00:00","16.9","","7.1","","52","","","","3","","5","","24.1","","89.06","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 01:00","2015","08","01","01:00","15.4","","10.2","","71","","","","35","","10","","24.1","","89.06","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 02:00","2015","08","01","02:00","16.6","","8.1","","57","","","","34","","18","","24.1","","89.04","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 03:00","2015","08","01","03:00","15.7","","9.9","","68","","","","34","","16","","24.1","","89.04","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 04:00","2015","08","01","04:00","14.8","","9.2","","69","","","","35","","16","","24.1","","89.01","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 05:00","2015","08","01","05:00","14.7","","8.9","","68","","","","","","0","","32.2","","89.01","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 06:00","2015","08","01","06:00","13.0","","7.7","","70","","","","20","","4","","48.3","","89.01","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 07:00","2015","08","01","07:00","16.5","","9.0","","61","","","","22","","3","","64.4","","89.01","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 08:00","2015","08","01","08:00","19.1","","8.6","","50","","","","","","0","","64.4","","89.02","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 09:00","2015","08","01","09:00","22.6","","8.5","","40","","","","2","","9","","64.4","","89.01","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 10:00","2015","08","01","10:00","23.0","","11.6","","48","","","","4","","19","","64.4","","89.03","","25","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 11:00","2015","08","01","11:00","23.1","","12.0","","49","","","","3","","22","","64.4","","89.03","","25","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 12:00","2015","08","01","12:00","24.8","","10.5","","40","","","","3","","18","","48.3","","89.00","","26","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 13:00","2015","08","01","13:00","25.3","","11.3","","41","","","","6","","16","","48.3","","88.98","","27","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 14:00","2015","08","01","14:00","26.1","","11.7","","40","","","","6","","21","","48.3","","88.99","","28","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 15:00","2015","08","01","15:00","26.2","","12.1","","41","","","","6","","20","","48.3","","89.00","","29","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 16:00","2015","08","01","16:00","25.9","","12.2","","42","","","","3","","27","","48.3","","88.98","","28","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 17:00","2015","08","01","17:00","24.9","","12.3","","45","","","","6","","28","","48.3","","89.01","","27","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 18:00","2015","08","01","18:00","23.9","","11.8","","46","","","","3","","27","","48.3","","89.05","","26","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 19:00","2015","08","01","19:00","22.3","","12.4","","53","","","","3","","28","","32.2","","89.08","","25","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 20:00","2015","08","01","20:00","19.8","","13.6","","67","","","","5","","19","","32.2","","89.16","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 21:00","2015","08","01","21:00","17.9","","13.9","","77","","","","5","","11","","24.1","","89.23","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 22:00","2015","08","01","22:00","17.7","","12.9","","73","","","","6","","9","","24.1","","89.30","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-01 23:00","2015","08","01","23:00","17.1","","12.5","","74","","","","","","0","","24.1","","89.33","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 00:00","2015","08","02","00:00","16.8","","11.8","","72","","","","18","","4","","24.1","","89.34","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 01:00","2015","08","02","01:00","16.2","","11.8","","75","","","","17","","9","","24.1","","89.34","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 02:00","2015","08","02","02:00","16.4","","12.0","","75","","","","17","","8","","24.1","","89.34","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 03:00","2015","08","02","03:00","16.0","","11.8","","76","","","","17","","10","","24.1","","89.33","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 04:00","2015","08","02","04:00","15.4","","11.2","","76","","","","16","","13","","24.1","","89.31","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 05:00","2015","08","02","05:00","15.2","","11.8","","80","","","","15","","12","","32.2","","89.33","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 06:00","2015","08","02","06:00","15.1","","11.7","","80","","","","17","","16","","32.2","","89.32","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 07:00","2015","08","02","07:00","17.1","","11.0","","67","","","","18","","19","","64.4","","89.28","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 08:00","2015","08","02","08:00","18.8","","10.2","","57","","","","17","","30","","64.4","","89.25","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2015-08-02 09:00","2015","08","02","09:00","20.2","","10.7","","54","","","","19","","27","","64.4","","89.24","","","","","","NA"
