"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 00:00","2014","07","01","00:00","14.7","","7.6","","62","","","","29","","14","","24.1","","89.71","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 01:00","2014","07","01","01:00","13.6","","8.1","","69","","","","32","","12","","24.1","","89.71","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 02:00","2014","07","01","02:00","12.1","","7.2","","72","","","","27","","9","","24.1","","89.74","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 03:00","2014","07","01","03:00","11.3","","6.7","","73","","","","26","","9","","24.1","","89.74","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 04:00","2014","07","01","04:00","10.4","","5.8","","73","","","","34","","7","","48.3","","89.74","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 05:00","2014","07","01","05:00","10.2","","5.8","","74","","","","28","","3","","64.4","","89.76","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 06:00","2014","07","01","06:00","10.9","","7.2","","78","","","","31","","5","","64.4","","89.76","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 07:00","2014","07","01","07:00","14.2","","8.2","","67","","","","21","","5","","64.4","","89.76","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 08:00","2014","07","01","08:00","17.0","","7.5","","53","","","","25","","4","","64.4","","89.77","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 09:00","2014","07","01","09:00","18.9","","6.2","","43","","","","24","","5","","64.4","","89.75","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 10:00","2014","07","01","10:00","20.4","","7.9","","44","","","","31","","12","","64.4","","89.73","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 11:00","2014","07","01","11:00","21.0","","7.0","","40","","","","19","","11","","64.4","","89.69","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 12:00","2014","07","01","12:00","22.2","","6.2","","35","","","","11","","8","","64.4","","89.68","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 13:00","2014","07","01","13:00","22.5","","6.5","","35","","","","12","","5","","64.4","","89.63","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 14:00","2014","07","01","14:00","23.1","","8.2","","38","","","","14","","9","","64.4","","89.60","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 15:00","2014","07","01","15:00","22.8","","6.7","","35","","","","16","","13","","64.4","","89.59","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 16:00","2014","07","01","16:00","23.3","","8.0","","37","","","","13","","18","","64.4","","89.53","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 17:00","2014","07","01","17:00","23.1","","9.3","","41","","","","16","","17","","64.4","","89.49","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 18:00","2014","07","01","18:00","22.3","","8.6","","41","","","","16","","21","","64.4","","89.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 19:00","2014","07","01","19:00","21.7","","6.9","","38","","","","17","","23","","48.3","","89.42","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 20:00","2014","07","01","20:00","20.5","","7.6","","43","","","","16","","23","","48.3","","89.40","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 21:00","2014","07","01","21:00","18.9","","8.9","","52","","","","16","","18","","64.4","","89.39","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 22:00","2014","07","01","22:00","17.4","","10.1","","62","","","","16","","18","","24.1","","89.39","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-01 23:00","2014","07","01","23:00","16.7","","9.9","","64","","","","16","","18","","24.1","","89.36","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 00:00","2014","07","02","00:00","15.4","","10.8","","74","","","","17","","17","","24.1","","89.35","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 01:00","2014","07","02","01:00","14.5","","10.9","","79","","","","16","","17","","24.1","","89.30","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 02:00","2014","07","02","02:00","13.8","","10.6","","81","","","","18","","17","","24.1","","89.27","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 03:00","2014","07","02","03:00","13.4","","10.2","","81","","","","18","","14","","24.1","","89.25","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 04:00","2014","07","02","04:00","12.0","","9.8","","86","","","","16","","10","","32.2","","89.20","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 05:00","2014","07","02","05:00","11.8","","9.7","","87","","","","15","","10","","32.2","","89.22","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 06:00","2014","07","02","06:00","13.3","","10.3","","82","","","","16","","12","","32.2","","89.22","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 07:00","2014","07","02","07:00","16.0","","11.0","","72","","","","18","","15","","24.1","","89.22","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 08:00","2014","07","02","08:00","17.6","","11.7","","68","","","","16","","15","","24.1","","89.21","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 09:00","2014","07","02","09:00","19.0","","11.4","","61","","","","15","","19","","24.1","","89.19","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 10:00","2014","07","02","10:00","20.8","","11.8","","56","","","","17","","24","","24.1","","89.15","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 11:00","2014","07","02","11:00","22.5","","11.4","","49","","","","17","","30","","24.1","","89.14","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 12:00","2014","07","02","12:00","23.8","","9.6","","40","","","","16","","37","","24.1","","89.10","","25","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 13:00","2014","07","02","13:00","24.6","","11.4","","43","","","","16","","25","","24.1","","89.07","","27","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 14:00","2014","07","02","14:00","25.1","","11.8","","43","","","","15","","26","","24.1","","89.04","","27","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 15:00","2014","07","02","15:00","25.1","","11.5","","42","","","","15","","31","","24.1","","89.02","","27","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 16:00","2014","07","02","16:00","24.3","","12.1","","46","","","","16","","30","","24.1","","88.98","","27","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 17:00","2014","07","02","17:00","24.6","","12.4","","46","","","","18","","26","","24.1","","88.94","","27","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 18:00","2014","07","02","18:00","23.5","","12.9","","51","","","","15","","28","","24.1","","88.89","","26","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 19:00","2014","07","02","19:00","23.6","","13.9","","54","","","","15","","27","","16.1","","88.86","","27","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 20:00","2014","07","02","20:00","22.2","","13.9","","59","","","","15","","18","","16.1","","88.83","","26","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 21:00","2014","07","02","21:00","21.0","","13.8","","63","","","","15","","18","","16.1","","88.82","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 22:00","2014","07","02","22:00","19.9","","13.2","","65","","","","16","","18","","16.1","","88.81","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-02 23:00","2014","07","02","23:00","18.8","","12.9","","68","","","","17","","18","","11.3","","88.77","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-03 00:00","2014","07","03","00:00","17.3","","12.9","","75","","","","19","","11","","11.3","","88.72","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-03 01:00","2014","07","03","01:00","16.6","","13.0","","79","","","","16","","16","","17.7","","88.69","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-03 02:00","2014","07","03","02:00","15.6","","13.1","","85","","","","21","","9","","24.1","","88.66","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-03 03:00","2014","07","03","03:00","14.7","","12.8","","88","","","","19","","14","","24.1","","88.66","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-03 04:00","2014","07","03","04:00","14.3","","12.7","","90","","","","21","","14","","24.1","","88.63","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-03 05:00","2014","07","03","05:00","14.1","","12.2","","88","","","","20","","15","","32.2","","88.63","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-03 06:00","2014","07","03","06:00","15.9","","12.7","","81","","","","","","0","","32.2","","88.65","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-07-03 07:00","2014","07","03","07:00","18.8","","12.2","","65","","","","19","","13","","32.2","","88.65","","","","","","NA"
