"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 00:00","2014","04","01","00:00","-9.5","","-11.1","","88","","","","18","","12","","4.0","","88.89","","","","-15","","Snow,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 01:00","2014","04","01","01:00","-9.3","","-10.7","","90","","","","19","","10","","2.4","","88.86","","","","-14","","Snow,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 02:00","2014","04","01","02:00","-8.8","","-10.6","","87","","","","24","","9","","4.0","","88.81","","","","-13","","Snow,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 03:00","2014","04","01","03:00","-9.1","","-11.0","","86","","","","20","","8","","8.1","","88.77","","","","-13","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 04:00","2014","04","01","04:00","-10.5","","-13.0","","82","","","","21","","9","","11.3","","88.73","","","","-15","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 05:00","2014","04","01","05:00","-11.0","","-13.7","","81","","","","21","","13","","11.3","","88.71","","","","-17","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 06:00","2014","04","01","06:00","-10.3","","-12.8","","82","","","","19","","10","","8.1","","88.70","","","","-16","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 07:00","2014","04","01","07:00","-9.8","","-12.3","","82","","","","24","","4","","9.7","","88.70","","","","-12","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 08:00","2014","04","01","08:00","-8.2","","-11.4","","78","","","","","","0","","11.3","","88.72","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 09:00","2014","04","01","09:00","-5.9","","-9.8","","74","","","","36","","4","","11.3","","88.73","","","","-8","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 10:00","2014","04","01","10:00","-5.2","","-9.5","","72","","","","5","","7","","11.3","","88.75","","","","-8","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2014-04-01 11:00","2014","04","01","11:00","-4.1","","-9.0","","69","","","","6","","10","","32.2","","88.75","","","","-8","","Mostly Cloudy"
